IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
84.32.186.105   | AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD | 12000  | 12003 | 12009    | none                  | 3.0.7   | 3604001754
185.229.190.123 | ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n | 8001   | 11222 | 11228    | none                  | 3.0.8   | 3604001754
88.211.253.204  | 9jJ3YRBL611e7xjXFMBExuninmTWjDnv3FXNotHmPnK2 | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
155.138.217.197 | 7PpXQgDb9eCHN1Uudgi77Wm89cRz4T85YgDw83qvaJXd | 8001   | 11222 | 11228    | none                  | 3.0.7   | 3604001754
102.211.135.167 | YE11a5nVJtUNqsojkphYuWc7StqBzbCeFH6BjhAAUEV  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
91.242.214.149  | sce3TfT81rxYYcdbP1kBFMcTK3ZBc8hvHVeXD6WLSzE  | 8001   | 8004  | 8010     | none                  | 4.0.0   | 2823985021
185.59.221.44   | 2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK | 8001   | 11222 | 11228    | none                  | 3.0.9   | 3604001754
85.195.99.79    | 5pZvwjSpGYCxpJeySwSbSAji7kZe4YntL7rQvXM3YcNT | 8000   | 5004  | 5010     | none                  | 3.0.10  | 3604001754
185.189.45.78   | 4mzLWNgBX67zVwTykNnq96Z6KQLc8UyV5Q35EfVCDifC | 8000   | 11222 | 11228    | none                  | 3.0.10  | 3604001754
169.155.44.188  | EUcJwf7jXskRE6NZBtFPVH2EedNvNYko8LL2WT62XctB | 8001   | 11222 | 11228    | none                  | 3.0.10  | 3604001754
103.14.27.47    | ExCHWgfeJyKRzpfryiQn4W6aYaWhbSAEnsoUnBGNqjWD | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
66.135.11.69    | 4W3jdXyqhLCjzA3Liu8ZNjViwrc6N9YjSB7obbxfjcKE | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
84.32.70.12     | Lake8NXDThihebhxS3Js7mFnj9fthmus93zEdsFNrsL  | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
23.109.172.92   | GRT7yrpfF1TEvp3RmCzu5YZ74B4EueVMPg5NYtSiPwtD | 8000   | 8003  | 8009     | none                  | 3.0.9   | 3604001754
198.13.134.16   | BLUEHGDihXD9CqqC5XFSQzDC3aS5jASohb2BAsXaJokR | 8000   | 11222 | 11228    | 198.13.134.16:8899    | 3.0.8   | 3604001754
185.191.118.5   | 7B4sGM7d8CakzRSRyHNxkhyGK9Avt2twrUsW9iXewVkW | 8001   | 8003  | 8009     | 185.191.118.5:8899    | 3.0.8   | 3604001754
45.139.132.250  | 4VmboVWgpQKM9hcULoYjNdhrDsy8JDD1S6uxuU37xEBE | 8000   | 11222 | 11228    | none                  | 3.0.6   | 3604001754
64.130.40.71    | CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW | 8901   | 8002  | 8008     | 64.130.40.71:8899     | 3.0.7   | 3604001754
64.130.42.122   | Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA | 8001   | 9001  | 9007     | none                  | 0.713.30008| 3604001754
